,class,message
364,spam,LIFE has never been this much fun and great until you came in You made it truly special for me I wont forget you enjoy  one gbpsms
365,spam,Someone U know has asked our dating service 2 contact you Cant guess who CALL 09058095107 NOW all will be revealed POBox 7
366,legit,Meanwhile in the shit suite xavier decided to give us  lt
367,spam,Hack Chat Get backdoor entry into 121 chat rooms at a fraction of the cost Reply NEO69 or call 09050280520
368,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts Call MobileUpd8 08001950382 or Call2OptOut674
369,legit,Ha ha ha good joke Girls are situation seekers
370,legit,Hey You got any mail
371,spam,Call FREEPHONE 0800 542 0578 now
372,spam,Your weekly CoolMob tones are ready to download This weeks new Tones include 1 Crazy FrogAXEL F 2 AkonLonely 3 Black EyedDont P More info in n
373,legit,How much r  willing to pay
374,legit,Was actually sleeping and still might when u call back So a text is gr8 You rock sis Will send u a text wen i wake
375,legit,Yup next stop
376,spam,FREE2DAY sexy St Georges Day pic of JordanTxt PIC to 89080 dont miss out
377,legit,Aight
378,legit,This girl does not stay in bed This girl doesnt need recovery time Id rather pass out while having fun then be cooped up in bed
379,legit,No its waiting in e car dats bored wat Cos wait outside got nothing 2 do At home can do my stuff or watch tv wat
380,legit,The evo I just had to download flash Jealous
381,legit,For real when u getting on yo I only need 2 more tickets and one more jacket and Im done I already used all my multis
382,legit,Wishing you and your family Merry X mas and HAPPY NEW Year in advance
383,legit,Almost there
384,legit,Dear
385,legit,Gibbs unsoldmike hussey
386,legit,Whats the staff name who is taking class for us
387,spam,FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms  conditions
388,legit,Dear we are going to our rubber place
389,spam,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game Text TONE or FLAG to 84199 Optout txt ENG STOP Box39822 W111WX 150
390,spam,Check Out Choose Your Babe Videos  smsshsexnetUN fgkslpoPW fgkslpo
391,spam,Send a logo 2 ur lover  2 names joined by a heart Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo POBox36504W45WQ TxtNO 4 no ads 150p
392,legit,sorry
393,legit,A famous quote  when you develop the ability to listen to anything unconditionally without losing your temper or self confidence
394,legit,Good words But words may leave u in dismay many times
395,spam,Orange brings you ringtones from all time Chart Heroes
396,spam,WIN a year supply of CDs 4 a store of ur choice worth 500  enter our 100 Weekly draw txt MUSIC to 87066 TsCs wwwLdewcomsubs161win150ppmx3
397,spam,Think ur smart  Win 200 this week in our weekly quiz
398,legit,8 at the latest
399,spam,New Tones This week include 1McFlyAll Ab
400,spam,RECPT 13 You have ordered a Ringtone Your order is being processed
401,legit,There is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop
402,legit,Maybe Say hi to  and find out if  got his card Great escape or wetherspoons 
403,spam,our mobile number has won 5000
404,spam,Todays Voda numbers ending 1225 are selected to receive a 50award If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
405,spam,lyricalladie21F is inviting you to be her friend Reply YES910 or NO910 See her wwwSMSacuhmmross STOP Send STOP FRND to 62468
406,spam,Urgent call 09066649731from Landline Your complimentary 4 Ibiza Holiday or 10
407,spam,okmail Dear Dave this is your final notice to collect your 4 Tenerife Holiday or
408,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a 350 award If your number matches call 09064019014 to receive your 350 award
409,spam,Thanks for your ringtone order
410,legit,Im gonna say no Sorry I would but as normal am starting to panic about time Sorry again Are you seeing on Tuesday
411,legit,Got meh When
412,legit,Or maybe my fat fingers just press all these buttons and it doesnt know what to do
413,legit,Sorry
414,spam,Ever thought about living a good life with a perfect partner Just txt back NAME and AGE to join the mobile community 100pSMS
415,legit,How many licks does it take to get to the center of a tootsie pop
416,spam,Customer service announcement We recently tried to make a delivery to you but were unable to do so
417,legit,Probably gonna swing by in a wee bit
418,spam,Sunshine Quiz Wkly Q Win a top Sony DVD player if u know which country Liverpool played in mid week Txt ansr to 82277 150 SPTyrone
419,spam,U have won a nokia 6230 plus a free digital camera This is what u get when u win our FREE auction To take part send NOKIA to 83383 now POBOX11414TCRW1 16
420,spam,In The Simpsons Movie released in July 2007 name the band that died at the start of the film AGreen Day
421,legit,U should have made an appointment
422,spam,Youve won tkts to the EURO2004 CUP FINAL or 800 CASH
423,legit,Wa
424,spam,Uve been selected to stay in 1 of 250 top British hotels  FOR NOTHING Holiday valued at 350 Dial 08712300220 to claim  National Rate Call Bx526
425,legit,Yeah you should I think you can use your gt atm now to register Not sure but if theres anyway i can help let me know But when you do be sure you are ready
426,legit,What you doinghow are you
427,spam,Dear Uve been invited to XCHAT This is our final attempt to contact u Txt CHAT to 86688
428,spam,YOU HAVE WON As a valued Vodafone customer our computer has picked YOU to win a 150 prize To collect is easy Just call 09061743386
429,spam,all the lastest from Stereophonics
430,legit,Tell them the drug dealers getting impatient
431,legit,One small prestige problem now
432,legit,You are everywhere dirt
433,legit,As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press 9 to copy your friends Callertune
434,legit,Talk With Yourself Atleast Once In A Day Otherwise You Will Miss Your Best FRIEND In This WORLD Shakespeare SHESIL  lt
435,spam,Someone has contacted our dating service and entered your phone because they fancy you To find out who it is call from a landline 09111032124  PoBox12n146tf150p
436,legit,K tell me anything about you
437,legit,Haha mayb ure rite U know me well Da feeling of being liked by someone is gd lor U faster go find one then all gals in our group attached liao
438,legit,Kkgoodstudy well
439,legit,All done All handed in Celebrations in full swing yet
440,legit,It does it on its own Most of the time it fixes my spelling But sometimes it gets a completely diff word Go figure
441,spam,Camera  You are awarded a SiPix Digital Camera call 09061221066 fromm landline Delivery within 28 days
442,spam,Text BANNEDUK to 89555 to see cost 150p textoperator g696ga 18 XXX
443,spam,You have an important customer service announcement Call FREEPHONE 0800 542 0825 now
444,spam,Ur cashbalance is currently 500 pounds  to maximize ur cashin now send COLLECT to 83600 only 150pmsg CC 08718720201 PO BOX 11414 TCRW1
445,spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or 250 cash every wk Txt VPOD to 81303 TsCs wwwtextpodnet custcare 08712405020
446,legit,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow I got to sing and a guy gave me his card xxx
447,legit,Leave it de Start Prepare for next
448,spam,Missed call alert These numbers called but left no message 07008009200
449,spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a 250 gift voucher 4 a store of yr choice TCs wwwtklscom age16 to stoptxtstop150week
450,legit,En chikku nange bakra msg kalstiyathen had teacoffee
451,spam,FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms  conditions
452,spam,Your free ringtone is waiting to be collected Simply text the password MIX to 85069 to verify Get Usher and Britney FML
453,spam,You can donate 250 to UNICEFs Asian Tsunami disaster support fund by texting DONATE to 864233 250 will be added to your next bill
454,legit,Yes i think so I am in office but my lap is in room i think thats on for the last few days I didnt shut that down
455,legit,Okies Ill go yan jiu too We can skip ard oso
456,legit,I borrow ur bag ok
457,spam,Loan for any purpose 500  75
458,spam,FreeMsg Txt CALL to No 86888  claim your reward of 3 hours talk time to use from your phone now Subscribe6GBPmnth inc 3hrs 16 stoptxtStop
459,legit,Yeah do Dont stand to close tho youll catch something
460,legit,This is hoping you enjoyed your game yesterday Sorry ive not been in touch but pls know that you are fondly bein thot off Have a great week Abiola
461,legit,When  login dat time Dad fetching  home now
462,spam,FREE GAME Get Rayman Golf 4 FREE from the O2 Games Arcade 1st get UR games settings Reply POST
463,legit,Does not operate after  lt
464,legit,Quite late lar Ard 12 anyway i wun b drivin
465,spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
466,spam,URGENT Your mobile No 077xxx WON a 2
467,spam,URGENT This is the 2nd attempt to contact UU have WON 1000CALL 09071512432 b4 300603tcsBCM4235WC1N3XXcallcost150ppmmobilesvary max7 50
468,legit,Hello my boytoy  Geeee I miss you already and I just woke up I wish you were here in bed with me
469,legit,Wen ur lovable bcums angry wid u
470,legit,I am real
471,spam,Valentines Day Special Win over 1000 in our quiz and take your partner on the trip of a lifetime Send GO to 83600 now 150pmsg rcvd CustCare08718720201
472,spam,For taking part in our mobile survey yesterday You can now have 500 texts 2 use however you wish 2 get txts just send TXT to 80160 TC wwwtxt43com 150p
473,legit,Thanks for this hope you had a good day today
474,spam,Dear Dave this is your final notice to collect your 4 Tenerife Holiday or
475,legit,Let there be snow Let there be snow This kind of weather brings ppl together so friendships can grow
476,spam,PRIVATE Your 2003 Account Statement for 07808247860 shows 800 unredeemed S I M points Call 08719899229 Identifier Code 40411 Expires 061104
477,legit,Yup
478,spam,WIN URGENT Your mobile number has been awarded with a 2000 prize GUARANTEED call 09061790121 from land line claim 3030 valid 12hrs only 150ppm 
479,spam,FIRSTDIRECT Youve successfully set up a new Direct Debit to QUICKQUID for 4035 If you did not set this up visit firstdirectcancelcouk to cancel
480,spam,To review and KEEP the fantastic Nokia NGage game deck with Club Nokia
481,legit,If u sending her home first its ok lor Im not ready yet
482,spam,PRIVATE Your 2003 Account Statement for fone no shows 800 unredeemed S I M points Call 08715203656 Identifier Code 42049 Expires 261004
483,legit,You please give us connection today itself before  ltDECIMALgt  or refund the bill
484,legit,Did you catch the bus  Are you frying an egg  Did you make a tea Are you eating your moms left over dinner  Do you feel my Love 
485,legit,Mmm so yummy babe  Nice jolt to the suzy
486,spam,Want the latest Video handset 750 anytime any network mins Half price line rental Reply or call 08000930705 for delivery tomorrow
487,spam,FREE camera phones with linerental from 449month with 750 cross ntwk mins 12 price txt bundle deals also avble Call 08001950382 or call2optoutJ MF
488,spam,Your Royal Mail parcel is awaiting delivery Please confirm the settlement of 199 GBP on the following link httpsdeliveryukmailsupportRoyalMail
489,legit,Gud mrng dear have a nice day
490,legit,Yup How  noe leh
491,spam,Id like to tell you my deepest darkest fantasies Call me 09094646631 just 60pmin To stop texts call 08712460324 nat rate
492,spam,Xmas Offer Latest Motorola
493,spam,Ringtone Club Get the UK singles chart on your mobile each week and choose any top quality ringtone This message is free of charge
494,spam,Sunshine Quiz Wkly Q Win a top Sony DVD player if u know which country the Algarve is in Txt ansr to 82277 150 SPTyrone
495,spam,18 days to Euro2004 kickoff U will be kept informed of all the latest news and results daily Unsubscribe send GET EURO STOP to 83222
496,spam,100 dating service call 09064012103 box334sk38ch
497,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won Just answer 4 easy questions Play Now Send HMV to 86688 More infowww100percentrealcom
498,legit,LOOK AT AMY URE A BEAUTIFUL
499,legit,Anything lor U decide
500,legit,Do you know where my lab goggles went
501,spam,datingi have had two of these Only started after i sent a text to talk sport radio last week Any connection do you think or coincidence
502,spam,httptms widelivecomindex wmlid820554ad0a1705572711firsttrueC C Ringtone
503,legit,You lifted my hopes with the offer of money I am in need Especially when the end of the month approaches and it hurts my studying Anyways have a gr8 weekend
504,spam,Win a 1000 cash prize or a prize worth 5000
505,legit,Sir
506,legit,Thanx 4 e brownie its v nice
507,legit,I know Grumpy old people My mom was like you better not be lying Then again I am always the one to play jokes
508,spam,ree entry in 2 a weekly comp for a chance to win an ipod Txt POD to 80182 to get entry std txt rate TCs apply 08452810073 for details 18
509,spam,5 Free Top Polyphonic Tones call 087018728737
510,spam,tells u 2 call 09066358152 to claim 5000 prize U have 2 enter all ur mobile  personal details  the prompts Careful
511,spam,Our dating service has been asked 2 contact U by someone shy CALL 09058091870 NOW all will be revealed POBox84
512,spam,Congrats Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16 Close 300603 post BCM4284 Ldn WC1N3XX
513,legit,Yep
514,legit,ok I am a gentleman and will treat you with dignity and respect
515,spam,HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd
516,legit,Thanks for picking up the trash
517,legit,Going thru a very different feelingwavering decisions and coping up with the same is the same individualtime will heal everything i believe
518,spam,This message is free Welcome to the new  improved Sex  Dogging club To unsubscribe from this service reply STOP msgs150p 18only
519,legit,Kate jackson rec center before 7ish
520,legit,You should know now So hows anthony Are you bringing money Ive school fees to pay and rent and stuff like that Thats why i need your help A friend in need
521,spam,Last Chance Claim ur 150 worth of discount vouchers today Text SHOP to 85023 now SavaMob
522,spam,Get ur 1st RINGTONE FREE NOW Reply to this msg with TONE Gr8 TOP 20 tones to your phone every week just 150 per wk 2 opt out send STOP 08452810071 16
523,spam,Reply to win 100 weekly Where will the 2006 FIFA World Cup be held Send STOP to 87239 to end service
524,spam,FREE for 1st week No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates wwwgetzedcouk POBox 36504 W45WQ norm150ptone 16
525,legit,Have a good evening Ttyl
526,spam,tddnewsletteremc1couk More games from TheDailyDraw Dear Helen
527,spam,Reply to win 100 weekly What professional sport does Tiger Woods play Send STOP to 87239 to end service
528,spam,Ur TONEXS subscription has been renewed and you have been charged 450 You can choose 10 more polys this month wwwclubzedcouk BILLING MSG
529,spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueriesnetvisionukcom
530,spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
531,spam,Twinks
532,legit,Was the farm open
533,legit,Ok Ur typical reply
534,legit,Why dont you go tell your friend youre not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
535,spam,Get a FREE mobile video player FREE movie To collect text GO to 89105 Its free Extra films can be ordered ts and cs apply 18 yrs only
536,legit,Sorry
537,spam,U have a secret admirer REVEAL who thinks U R So special Call 09065174042 To opt out Reply REVEAL STOP 150 per msg recd Cust care 07821230901
538,legit,Just checking in on you Really do miss seeing Jeremiah Do have a great month
539,legit,Wah lucky man Then can save money Hee
540,legit,Hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator
541,spam,As a valued customer
542,legit,A gram usually runs like  lt
543,legit,Hello Good week Fancy a drink or something later
544,legit,I have to take exam with march 3
545,spam,Dear 0776xxxxxxx Uve been invited to XCHAT This is our final attempt to contact u Txt CHAT to 86688 150pMsgrcvdHGSuite3422LandsRowW1J6HL LDN 18yrs 
546,legit,Ill have a look at the frying pan in case its cheap or a book perhaps No thats silly a frying pan isnt likely to be a book
547,spam,Customer service annoncement You have a New Years delivery waiting for you Please call 07046744435 now to arrange delivery
548,legit,Am not interested to do like that
549,spam,Hi babe its Jordan
550,spam,Married local women looking for discreet action now 5 real matches instantly to your phone Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
551,spam,Congrats 1 year special cinema pass for 2 is yours call 09061209465 now C Suprman V
552,legit,I like to talk pa but am not able to I dont know y
553,spam,XCLUSIVECLUBSAISAI 2MOROW 285 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARISFREE ROSES 2 ALL LADIES  info 0794674629107880867867 
554,legit,Whats the significance
555,legit,Yo you guys ever figure out how much we need for alcohol Jay and I are trying to figure out how much we can safely spend on weed
556,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed  Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs wwwLdewcom1win150ppmx3age16
557,spam,You are a winner U have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18 
558,spam,More people are dogging in your area now Call 09090204448 and join like minded guys Why not arrange 1 yourself Theres 1 this evening A150 minAPN LS278BB
559,legit,You should change your fb to jaykwon thuglyfe falconerf
560,spam,Mila
561,legit,I had askd u a question some hours before Its answer
562,legit,Headin towards busetop
563,spam,from wwwApplausestorecom MonthlySubscription50pmsg max6month TCsC web age16 2stop txt stop
564,spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow With 300 free minutes to any mobile  100 free texts  Free Camcorder reply or call 08000930705
565,legit, said kiss
566,spam,December only Had your mobile 11mths You are entitled to update to the latest colour camera mobile for Free Call The Mobile Update Co FREE on 08002986906 
567,legit,Anyway im going shopping on my own now Cos my sis not done yet Dun disturb u liao
568,legit,The world is running and i am stillmaybe all are feeling the same
569,spam,Last chance 2 claim ur 150 worth of discount vouchersText YES to 85023 nowSavaMobmember offers mobile T Cs 08717898035 300 Sub 16  Remove txt X or STOP
570,legit,No no I will check all rooms befor activities
571,legit,Ranjith cal drpd Deeraj and deepak 5min hold
572,spam,Free msg Single Find a partner in your area 1000s of real people are waiting to chat nowSend CHAT to 62220Cncl send STOPCS 08717890890150 per msg
573,spam,FREE entry into our 250 weekly competition just text the word WIN to 80086 NOW 18 TC wwwtxttowincouk
574,spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
575,legit,Kallis wont bat in 2nd innings
576,spam,Sunshine Quiz Wkly Q Win a top Sony DVD player if u know which country Liverpool played in mid week Txt ansr to 82277 150 SPTyrone
577,legit,Faith makes things possible
578,legit,U calling me right Call my hand phone
579,spam,1000s flirting NOW Txt GIRL or BLOKE  ur NAME  AGE
580,spam,URGENT
581,legit,WHO ARE YOU SEEING
582,legit,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOURE CONCERNED
583,legit,Are you free nowcan i call now
584,legit,Morning only i can ok
585,legit,At home watching tv lor
586,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddycom TXT ONE name to 89693 08715500022 rpl Stop 2 cnl
587,legit,Do you mind if I ask what happened You dont have to say if it is uncomfortable
588,legit,hanks lotsly
589,legit,I called and said all to himthen he have to choose this future
590,spam,LookAtMe Thanks for your purchase of a video clip from LookAtMe
591,spam,FREE entry into our 250 weekly comp just send the word WIN to 80086 NOW 18 TC wwwtxttowincouk
592,spam,You have been specially selected to receive a 3000 award Call 08712402050 BEFORE the lines close Cost 10ppm 16 TCs apply AG Promo
593,spam,85233 FREERingtoneReply REAL
594,legit,What is this hex place you talk of Explain
595,legit,What will we do in the shower
596,legit,Hey leave it not a big deal take care
597,legit,Gudnitetcpractice going on
598,legit,Lol I know Theyre so dramatic Schools already closed for tomorrow Apparently we cant drive in the inch of snow were supposed to get
599,legit,Just so that you know
600,legit,Just sleepingand surfing
601,spam,I want some cock My hubbys away
602,spam,Ringtone Club Gr8 new polys direct to your mobile every week 
603,spam,You have won a guaranteed 32000 award or maybe even 1000 cash to claim ur award call free on 0800  18 Its a legitimat efreefone number wat do u think
604,legit,I wont get concentration dear you know you are my mind and everything 
605,spam,U can WIN 100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs wwwldewcom SkillGame
606,legit,Although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u Thanx 4 everything dat uve done today
607,spam,123 Congratulations  in this weeks competition draw u have won the 1450 prize to claim just call 09050002311 b4280703 TCsstop SMS 08718727868 Over 18 only 150ppm
608,spam,Bored housewives Chat n date now 08717507711 BTnational rate 10pmin only from landlines
609,legit,Call me when youcarlos isare here
610,legit,7 at esplanade Do  mind giving me a lift cos i got no car today
611,legit,When can  come out
612,spam,PRIVATE Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points To claim call 08719180248 Identifier Code 45239 Expires
613,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed  Free entry 2 100 wkly draw txt MUSIC to 87066
614,legit,What Todaysundaysunday is holidayso no work
615,spam,Hi Customer Loyalty OfferThe NEW Nokia6650 Mobile from ONLY 10 at TXTAUCTION Txt word START to No 81151  get yours Now 4TCtxt TC 150pMTmsg
616,legit,Ok Im gonna head up to usf in like fifteen minutes
617,spam,500 New Mobiles from 2004
618,spam,U 447801259231 have a secret admirer who is looking 2 make contact with Ufind out who they Rreveal who thinks UR so specialcall on 09058094597
619,legit,Watching telugu moviewat abt u
620,legit,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
621,spam,You are being contacted by our Dating Service by someone you know To find out who it is
622,spam,todays vodafone numbers ending with 0089my last four digits are selected to received a 350 award If your number matches please call 09063442151 to claim your 350 award
623,spam,WIN a 200 Shopping spree every WEEK Starting NOW 2 play text STORE to 88039 SkilGme TsCs08714740323 1Winawk age16 150perweeksub
624,spam,Hi ya babe x u 4goten bout me scammers getting smartThough this is a regular vodafone no
625,spam,Natalja 25F is inviting you to be her friend Reply YES440 or NO440 See her wwwSMSacunat27081980 STOP Send STOP FRND to 62468
626,legit,Me n him so funny
627,legit,Nothing but we jus tot u would ask cos u ba gua But we went mt faber yest Yest jus went out already mah so today not going out Jus call lor
628,legit,Great escape I fancy the bridge but needs her lager See you tomo 
629,legit,I think ive fixed it can you send a test message
630,spam,Marvel Mobile Play the official Ultimate Spiderman game 450 on ur mobile right now Text SPIDER to 83338 for the game  we ll send u a FREE 8Ball wallpaper
631,legit,Didnt you get hep b immunisation in nigeria
632,spam,HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd
633,spam,Block Breaker now comes in deluxe format with new features and great graphics from TMobile Buy for just 5 by replying GET BBDELUXE and take the challenge
634,legit,Send this to ur friends and receive something about ur voice How is my speaking expression 1childish 2naughty 3Sentiment 4rowdy 5ful of attitude 6romantic 7shy 8Attractive 9funny  lt
635,legit,Lol your always so convincing
636,legit,Ok i will tell her to stay out Yeah its been tough but we are optimistic things will improve this month
637,spam,500 free text msgs Just text ok to 80488 and well credit your account
638,legit,What class of  lt
639,legit,i see When we finish we have loads of loans to pay
640,spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX TODAY IS UR LUCKY DAY2 FIND OUT WHY LOG ONTO httpwwwurawinnercom THERES A FANTASTIC PRIZEAWAITING YOU
641,legit,Can you open the door
642,spam,YOU ARE CHOSEN TO RECEIVE A 350 AWARD Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer
643,legit,Yo carlos
644,spam,Congratulations Thanks to a good friend U have WON the 2
645,legit,U call me alter at 11 ok
646,spam,1st wk FREE Gr8 tones str8 2 u each wk Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys Nokia150p Poly200p 16
647,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 Text FA to 87121 to receive entry questionstd txt rateTCs apply 08452810075over18s
648,spam,U have a Secret Admirer who is looking 2 make contact with Ufind out who they Rreveal who thinks UR so specialcall on 09065171142stopsms08718727870150ppm
649,spam,Wanna get laid 2nite Want real Dogging locations sent direct to ur mobile Join the UKs largest Dogging Network Txt PARK to 69696 now Nyt ec2a 3lp 150msg
650,spam,Urgent Urgent We have 800 FREE flights to Europe to give away
651,legit,Not sure yet
652,spam,Welcome to UKmobiledate this msg is FREE giving you free calling to 08719839835 Future mgs billed at 150p daily To cancel send go stop to 89123
653,spam,Bank of Granite issues StrongBuy EXPLOSIVE PICK FOR OUR MEMBERS UP OVER 300  Nasdaq Symbol CDGT That is a 500 per
654,legit,Got c I lazy to type I forgot  in lect I saw a pouch but like not v nice
655,spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls1minMobsmoreLKPOBOX177HP51FL
656,spam,YOU VE WON Your 4 Costa Del Sol Holiday or 5000 await collection Call 09050090044 Now toClaim SAE
657,legit,That would be great Well be at the Guild Could meet on Bristol road or somewhere  will get in touch over weekend Our plans take flight Have a good week
658,spam,For your chance to WIN a FREE Bluetooth Headset then simply reply back with ADP
659,spam,thesmszonecom lets you send free anonymous and masked messagesim sending this message from theredo you see the potential for abuse
660,legit,Geeeee  I love you so much I can barely stand it
661,legit,idc get over here
662,spam,Welcome Please reply with your AGE and GENDER to begin eg 24M
663,legit,Yeah hopefully
664,spam,Please call our customer service representative on 0800 169 6031 between 10am9pm as you have WON a guaranteed 1000 cash or 5000 prize
665,spam,U have a secret admirer who is looking 2 make contact with Ufind out who they Rreveal who thinks UR so specialcall on 09058094599
666,spam,UR GOING 2 BAHAMAS CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of2000 CASH 18only To opt out txt X to 07786200117
667,spam,You have 1 new message Please call 08715205273
668,legit,Your card is now enabled for Apple Pay You can use it wherever you see the contactless symbol or Apple Pay mark
669,spam,SIX chances to win CASH From 100 to 20
670,legit,Be happy there I will come after noon
671,legit,The hair cream has not been shipped
672,legit,Umma my life and vava umma love you lot dear
673,spam,Dear Voucher Holder
674,spam,Hi this is Amy
675,spam,Thanks for your ringtone order
676,spam,YES The only place in town to meet exciting adult singles is now in the UK Txt CHAT to 86688 now 150pMsg
677,legit,Yup i thk they r e teacher said that will make my face look longer Darren ask me not 2 cut too short
678,spam,You are guaranteed the latest Nokia Phone
679,legit,Ok lar Joking wif u oni
680,spam,U can WIN 100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs wwwIdewcom SkillGame
681,spam,URGENT Your Mobile number has been awarded with a 2000 prize GUARANTEED Call 09061790121 from land line Claim 3030 Valid 12hrs only 150ppm
682,legit,Yoyyooo u know how to change permissions for a drive in mac My usb flash drive
683,spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds2 logosmusicnews get more fun from jamstercouk 16only Help call 09701213186 
684,spam,Forwarded from 21870000Hi  this is your Mailbox Messaging SMS alert You have 4 messages You have 21 matches Please call back on 09056242159 to retrieve your messages and matches
685,spam,UpdateNow  Xmas Offer Latest Motorola
686,legit,Is there a reason weve not spoken this year Anyways have a great week and all the best in your exam
687,spam,Burger King  Wanna play footy at a top stadium Get 2 Burger King before 1st Sept and go Large or Super with CocaCola and walk out a winner
688,spam,22 days to kick off For Euro2004 U will be kept up to date with the latest news and results daily To be removed send GET TXT STOP to 83222
689,legit,Would really appreciate if you call me Just need someone to talk to
690,legit,Allo We have braved the buses and taken on the trains and triumphed I mean were in bham Have a jolly good rest of week
691,legit,Or ill be a little closer like at the bus stop on the same street
692,legit,Need a coffee run tomoCant believe its that time of week already
693,spam,UpdateNow  12Mths Half Price Orange line rental 400minsCall MobileUpd8 on 08000839402 or call2optoutJ5Q
694,legit,I love to give massages I use lots of baby oil What is your fave position
695,spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 TsCs wwwsmsconet 150pm approx 3mins
696,legit,I wnt to buy a BMW car urgentlyits vry urgentbut hv a shortage of  lt
697,legit,I come n pick  up Come out immediately aft ur lesson
698,spam,Had your mobile 11mths  Update for FREE to Oranges latest colour camera mobiles  unlimited weekend calls Call Mobile Upd8 on freefone 08000839402 or 2StopTxt
699,spam,This weeks SavaMob member offers are now accessible Just call 08709501522 for details SavaMob
700,spam,Urgent call 09066350750 from your landline Your complimentary 4 Ibiza Holiday or 10
701,spam,WINNER As a valued network customer you have been selected to receivea 900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hours only
702,legit,Will purchase d stuff today and mail to you Do you have a po box number
703,spam,Urgent UR awarded a complimentary trip to EuroDisinc Trav
704,legit,TaKe CaRE n gET WeLL sOOn
705,legit,Pete can you please ring meive hardly gotany credit
706,legit,Thats cool Sometimes slow and gentle Sonetimes rough and hard 
707,spam,This is the 2nd time we have tried 2 contact u U have won the 750 Pound prize 2 claim is easy
708,legit,TODAY is Sorry day If ever i was angry with you
709,legit,Exactly Anyways how far Is jide her to study or just visiting
710,legit,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
711,legit,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roadsRVx
712,legit,I promise to take good care of you
713,legit,Merry Christmas to you too babe
714,spam,URGENT Your Mobile number has been awarded with a 2000 prize GUARANTEED Call 09061790121 from land line Claim 3030 Valid 12hrs only 150ppm
715,spam,U can WIN 100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs wwwIdewcom SkillGame
